lid,delta_theta_deg,delta_r,z
0,-8.447909,-0.001468,-0.209242
1,-5.885325,-0.008842,0.004917
2,-6.779101,-0.002797,-0.178950
3,-5.345246,-0.043882,0.034394
4,-7.399571,-0.006863,-0.151785
5,-5.336076,-0.021831,0.061795
6,-8.192075,0.002907,-0.121339
7,-5.614298,-0.020298,0.091514
8,-3.212760,0.024988,-0.089320
9,-2.849118,0.013039,0.124781
10,-2.607934,0.023142,-0.061446
11,-2.822845,0.010213,0.154456
12,-2.404432,0.012658,-0.033765
13,-3.238048,0.006679,0.185249
14,-2.571400,0.011898,-0.005161
15,-3.195812,0.000458,0.217524
